CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5931322,6/1/2016 15:23,6/2/2016 8:34,6/2/2016 8:34,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Weeding,Intersection of SOUTH VAN NESS AVE and ADAIR ST,9,Mission,"(37.7657519991796, -122.417542143576)",Voice In,
5661918,3/14/2016 7:49,,3/17/2016 15:12,Open,in progress,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"209 KENSINGTON WAY, SAN FRANCISCO, CA, 94127",7,Laguna Honda,"(37.742360389508, -122.461167666614)",Voice In,
5662003,3/14/2016 8:14,,3/14/2016 9:25,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"275 CHRISTOPHER DR, SAN FRANCISCO, CA, 94131",7,Forest Knolls,"(37.754714940386, -122.457826698383)",Voice In,
5662183,3/14/2016 8:59,3/14/2016 12:12,3/14/2016 12:12,Closed,Case Resolved - Park manager has submitted a RPD work order to Urban Foresters to examine this tree.,RPD Park Service Area 5 Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"States Street Playground, , SAN FRANCISCO, CA, 94114",8,Corona Heights,"(37.763799962, -122.4378537)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e6dff5df86ba9da0567316/report.jpg
5662310,3/14/2016 9:23,,3/14/2016 11:57,Open,closed,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"36 TOMASO CT, SAN FRANCISCO, CA, 94134",10,Visitacion Valley,"(37.709463166073, -122.409968286847)",Voice In,
5662782,3/14/2016 10:56,,3/14/2016 11:02,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,Intersection of 34TH AVE and BALBOA ST,1,Outer Richmond,"(37.7758622688977, -122.494103994238)",Voice In,
5932596,6/1/2016 20:14,6/2/2016 8:30,6/2/2016 8:30,Closed,Cancelled -  Public Works ahs no working irrigation at this location,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Sprinkler_system_issues,"140 PORTOLA DR, SAN FRANCISCO, CA, 94131",8,Upper Market,"(37.748836161865, -122.44418463202)",Voice In,
5663174,3/14/2016 12:21,,3/14/2016 12:24,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Empty_tree_basin,"100 DORADO TER, SAN FRANCISCO, CA, 94112",7,Westwood Park,"(37.727053540917, -122.460431885618)",Voice In,
6427590,10/17/2016 7:53,10/19/2016 10:40,10/19/2016 10:40,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"155 FILLMORE ST, SAN FRANCISCO, CA, 94117",5,Duboce Triangle,"(37.77088424714, -122.430272661888)",Voice In,
6446435,10/21/2016 14:28,10/24/2016 11:10,10/24/2016 11:10,Closed,Case Resolved - Please contact city attorney http://www.sfcityattorney.org,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Property_damage,"730 DARIEN WAY, SAN FRANCISCO, CA, 94127",7,Mt. Davidson Manor,"(37.730307924259, -122.464168354282)",Web Self Service,
5664908,3/14/2016 18:00,,3/14/2016 18:00,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"1726 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.769475551244, -122.420254498765)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e75e99df86ba9da056884e/report.jpg
5665144,3/14/2016 19:24,,3/14/2016 21:39,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,"354 PRECITA AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.746720840447, -122.412447068868)",Open311,
5934252,6/2/2016 10:55,,6/3/2016 6:40,Open,accepted,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Shrubbery_blocking_visibility,"1871 14TH AVE, SAN FRANCISCO, CA, 94122",7,Golden Gate Heights,"(37.752965088068, -122.471137514183)",Voice In,
5665170,3/14/2016 19:37,3/14/2016 22:17,3/14/2016 22:17,Closed,Case Resolved - TRANS TO CMMS,DPW BUF Queue,Tree Maintenance,Trees - Tree_Other,Other,"87 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.781229495704, -122.408751237476)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e7756cdf86ba9da0568b60/report.jpg
5665203,3/14/2016 19:50,,3/14/2016 19:50,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,Intersection of HOLLADAY AVE and WRIGHT ST,9,Peralta Heights,"(37.7473661751726, -122.4051012832)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e77868df86ba9da0568bd3/report.jpg
5665223,3/14/2016 19:55,,3/14/2016 22:17,Open,accepted,DPW BUF Queue,Tree Maintenance,Trees - Tree_Other,Other,"199 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.779790379884, -122.407126457968)",Open311,
5665246,3/14/2016 20:06,3/14/2016 22:14,3/14/2016 22:14,Closed,Case Resolved - duplicate of 10 Belmont,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"122 EDGEWOOD AVE, SAN FRANCISCO, CA, 94117",5,Parnassus Heights,"(37.763404822035, -122.454804061754)",Voice In,
5665247,3/14/2016 20:06,3/15/2016 11:55,3/15/2016 11:55,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"16 BELMONT AVE, SAN FRANCISCO, CA, 94117",5,Parnassus Heights,"(37.763139357676, -122.454629191933)",Voice In,
5933143,6/2/2016 7:30,,6/2/2016 7:32,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,About_to_fall,Intersection of SEWARD ST and DOUGLASS ST,8,Eureka Valley,"(37.7578555674132, -122.439074027765)",Voice In,
5663445,3/14/2016 13:10,,3/14/2016 13:18,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Sewer_damage_tree_roots,"788 17TH AVE, SAN FRANCISCO, CA, 94121",1,Inner Richmond,"(37.773258363779, -122.475334643286)",Voice In,
5663617,3/14/2016 13:48,,3/14/2016 13:48,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"2485 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.757594324754, -122.414385534725)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e7237fdf86ba9da0567deb/report.jpg
5663994,3/14/2016 14:52,3/14/2016 17:13,3/14/2016 17:13,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,About_to_fall,Intersection of 24TH ST and VALENCIA ST,9,Mission,"(37.7521036092557, -122.420664719703)",Voice In,
5664163,3/14/2016 15:23,,3/14/2016 15:30,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Sewer_damage_tree_roots,"583 24TH AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.778565322803, -122.483689588629)",Voice In,
5664231,3/14/2016 15:41,,3/14/2016 15:41,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"1176 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.754341809811, -122.416609792968)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e73e01df86ba9da05682b0/report.jpg
6424223,10/15/2016 14:43,10/21/2016 8:25,10/21/2016 8:25,Closed,Cancelled -,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Near_communication_line,"2420 FILLMORE ST, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.791994892114, -122.434302754644)",Voice In,
5664338,3/14/2016 16:00,,3/14/2016 16:00,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,"144 STONECREST DR, SAN FRANCISCO, CA, 94132",7,Stonestown,"(37.727921692927, -122.47417316612)",Web Self Service,
5664632,3/14/2016 16:53,,3/14/2016 16:53,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,Intersection of 41ST AVE and CLEMENT ST,1,Outer Richmond,"(37.7812271125734, -122.502011828073)",Integrated Agency,
5935380,6/2/2016 13:45,8/22/2016 23:16,8/22/2016 23:16,Closed,Case Resolved - Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,"467 JOOST AVE, SAN FRANCISCO, CA, 94127",7,Sunnyside,"(37.732213975724, -122.445822297817)",Voice In,
5935387,6/2/2016 13:46,,6/2/2016 13:47,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,"1650 25TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.756733030164, -122.482938838975)",Voice In,
5935675,6/2/2016 14:27,8/22/2016 23:16,8/22/2016 23:16,Closed,Case Resolved - Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Other_enter_additional_details_below,"1561 16TH AVE, SAN FRANCISCO, CA, 94122",7,Golden Gate Heights,"(37.758850249977, -122.473851830126)",Voice In,
5936501,6/2/2016 16:48,6/7/2016 1:03,6/7/2016 1:03,Closed,Case Resolved - Request Letter Sent.   sent planting request to cmms,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Backfill_tree_basin,Intersection of FILLMORE ST and HAYES ST,5,Hayes Valley,"(37.7758344070154, -122.431198557278)",Voice In,
5656610,3/11/2016 15:20,3/26/2016 10:23,3/26/2016 10:23,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,Intersection of RANDALL ST and ARLINGTON ST,8,Fairmount,"(37.7398602749573, -122.424502576236)",Voice In,
5658269,3/12/2016 10:52,3/15/2016 1:33,3/15/2016 1:33,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,"1770 DOLORES ST, SAN FRANCISCO, CA, 94110",8,Fairmount,"(37.741219748347, -122.424362473376)",Voice In,
5659464,3/12/2016 17:45,3/15/2016 1:47,3/15/2016 1:47,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,Intersection of DE HARO ST and 15TH ST,10,Showplace Square,"(37.7674306308492, -122.401842409564)",Voice In,
6447492,10/21/2016 19:14,10/21/2016 20:10,10/21/2016 20:10,Closed,Case Resolved - 1098 - cmp,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,Intersection of FRANKLIN ST and OFARRELL ST,5,Cathedral Hill,"(37.7845466651625, -122.422838055375)",Voice In,
5663070,3/14/2016 12:04,3/15/2016 16:09,3/15/2016 16:09,Closed,Case Resolved - 1098,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"2400 DIVISADERO ST, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.791887170866, -122.441013746718)",Voice In,
5665426,3/14/2016 21:56,,3/14/2016 21:56,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"1828 MARKET ST, SAN FRANCISCO, CA, 94102",8,Mint Hill,"(37.771499800555, -122.42404836031)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e795dbdf86ba9da0568d7f/report.jpg
5665503,3/14/2016 22:18,,3/14/2016 22:23,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,Intersection of BELMONT AVE and EDGEWOOD AVE,5,Parnassus Heights,"(37.763178725342, -122.454945933705)",Voice In,
5667006,3/15/2016 11:20,,3/15/2016 11:20,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,Intersection of CHARLES J BRENHAM PL and MCALLISTER ST,6,Civic Center,"(37.7809937749427, -122.413148141072)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e85242df86ba9da0569985/photo_20160315_111811.jpg
6469354,10/27/2016 21:03,,10/27/2016 21:06,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,Intersection of BRYANT ST and ALAMEDA ST,10,Mission,"(37.7681779848143, -122.410730771065)",Voice In,
5554901,2/10/2016 12:09,4/11/2016 19:02,4/11/2016 19:02,Closed,Case Resolved - Sent to CMMS-Landscape,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,Intersection of AUGUSTA ST and WATERVILLE ST,10,Silver Terrace,"(37.7344528556565, -122.402689437566)",Voice In,
6469550,10/28/2016 2:41,10/28/2016 4:26,10/28/2016 4:26,Closed,Case is a Duplicate - DPW already has this report,311 Supervisor Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"2708 24TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.753060054585, -122.406546817556)",Voice In,
5819723,5/2/2016 3:37,6/3/2016 5:36,6/3/2016 5:36,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"772 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.760829974342, -122.417230702082)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5726bffedf86de9c7ca8370d/report.jpg
5679511,3/18/2016 16:59,3/21/2016 12:00,3/21/2016 12:00,Closed,"Case Resolved -  Request closed by in Operations system   at Mar 21 2016 12:00AM.  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/21/2016. "".",DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"5001 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.784377648993, -122.471142138449)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56ec966ddf86ba9da056fb9d/report.jpg
5619392,3/1/2016 14:58,,3/2/2016 9:15,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"3648 16TH ST, SAN FRANCISCO, CA, 94114",8,Duboce Triangle,"(37.764280899007, -122.434186159583)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d61e87df86ac4353fb6d05/report.jpg
5680249,3/19/2016 6:53,3/21/2016 11:40,3/21/2016 11:40,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"1036 LE CONTE AVE, SAN FRANCISCO, CA, 94124",10,Bret Harte,"(37.718743982427, -122.397096694973)",Voice In,
5932956,6/2/2016 5:38,,6/3/2016 6:45,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,"410 FOERSTER ST, SAN FRANCISCO, CA, 94127",7,Sunnyside,"(37.731992464389, -122.448726202269)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575028badf86fb01269911d9/report.jpg
6653400,12/22/2016 12:08,,12/22/2016 12:15,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Sewer_damage_tree_roots,"1326 MASONIC AVE, SAN FRANCISCO, CA, 94117",5,Buena Vista,"(37.768729961281, -122.444834607437)",Voice In,
5936378,6/2/2016 16:25,6/3/2016 7:55,6/3/2016 7:55,Closed,Cancelled -,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,"1482 HUDSON AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.739087853587, -122.385815695544)",Voice In,
5937183,6/2/2016 21:38,,6/3/2016 6:34,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,"2034 IRVING ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.763691395277, -122.479862187668)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575109b8df8680c81cee8482/report.jpg
5622215,3/2/2016 11:45,6/14/2016 12:41,6/14/2016 12:41,Closed,Case Resolved - SES Graffiti Crew  - Paint - Pole - MUNI,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,Intersection of BUCHANAN ST and BUSH ST,5,Japantown,"(37.78744080295, -122.430168495905)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d742c2df86ac4353fb86ec/report.jpg
5622608,3/2/2016 13:07,3/11/2016 12:00,3/11/2016 12:00,Closed,"Case Resolved -  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/11/2016. "".",DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,"388 POLARIS WAY, SAN FRANCISCO, CA, 94112",11,Crocker Amazon,"(37.708930101944, -122.439724031635)",Voice In,
5939113,6/3/2016 8:16,9/14/2016 10:10,9/14/2016 10:10,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Near_communication_line,"2362 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Cayuga,"(37.716431112521, -122.44438207093)",Voice In,
5685887,3/21/2016 13:35,3/22/2016 2:40,3/22/2016 2:40,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,Intersection of OCTAVIA ST and PAGE ST,5,Lower Haight,"(37.7738892157624, -122.423947094103)",Web Self Service,
5939841,6/3/2016 10:10,6/3/2016 19:37,6/3/2016 19:37,Closed,Case Resolved - duplicate 1847089,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"3640 SACRAMENTO ST, SAN FRANCISCO, CA, 94118",2,Presidio Heights,"(37.787562650952, -122.452745617541)",Voice In,
5624041,3/2/2016 18:07,,3/7/2016 12:00,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"499 JACKSON ST, SAN FRANCISCO, CA, 94111",3,North Beach,"(37.796353978904, -122.403219121958)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d79c62df86ac4353fb9503/photo_20160302_180537.jpg
5624044,3/2/2016 18:08,3/10/2016 3:57,3/10/2016 3:57,Closed,Case Resolved - tree on 19th near street light has plenty of clearance. 6' required.,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,Intersection of 19TH ST and VERMONT ST,10,Potrero Hill,"(37.7608339989507, -122.404134630753)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56d79c9fdf86ac4353fb9510/report.jpg
5686204,3/21/2016 14:47,,3/21/2016 16:28,Open,in progress,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,"600 MCALLISTER ST, SAN FRANCISCO, CA, 94102",5,Civic Center,"(37.779960696108, -122.422194607195)",Voice In,
5686801,3/21/2016 17:09,6/1/2016 6:36,6/1/2016 6:36,Closed,Case Resolved - PLEASE CONTACT THE PROPERTY OWNER/PRIVATE VEGETATION,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Shrubbery_blocking_visibility,"100 JOOST AVE, SAN FRANCISCO, CA, 94131",8,Sunnyside,"(37.732485942996, -122.437834200545)",Web Self Service,
5625163,3/3/2016 10:08,,3/5/2016 9:45,Open,open,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Sprinkler_system_issues,Intersection of PRESIDIO AVE and GEARY BLVD,2,Anza Vista,"(37.7824879377749, -122.445820390699)",Voice In,
5687137,3/21/2016 19:41,4/4/2016 12:00,4/4/2016 12:00,Closed,"Case Resolved -  Request closed by in Operations system   at Apr  4 2016 12:00AM.  Notes = ""  Notes:311 call about empty pot. Attempted relinquishment previously but still DPW. Will send a replanting request. .   BUF Action:Inspect. date completed - 4/4/2016. "".",DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"1101 POLK ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.787052606533, -122.420150167437)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56f0b0d1df86ba9da0573b46/report.jpg
5687152,3/21/2016 19:45,4/4/2016 1:10,4/4/2016 1:10,Closed,Case Resolved - Request Letter Sent.   No tree is missing at this location. There are three magnolia trees here. There is an empty basin/pot at #1150 tree #2 over the road. This is a privately maintained basin and I have sent a letter requesting replacement.,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"1177 POLK ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.787582267594, -122.420220966909)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56f0b1b4df86ba9da0573b8b/report.jpg
5687205,3/21/2016 20:05,6/16/2016 1:30,6/16/2016 1:30,Closed,"Case Resolved - We are aware of the Palm, & we are trying to contact owners",DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,"1875 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767092538129, -122.419684297046)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56f0b644df86ba9da0573cfe/photo_20160321_200325.jpg
5687194,3/21/2016 20:02,,3/21/2016 20:05,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"1626 SHRADER ST, SAN FRANCISCO, CA, 94117",5,Ashbury Heights,"(37.75984206747, -122.449589444123)",Voice In,
5687250,3/21/2016 20:23,3/22/2016 2:53,3/22/2016 2:53,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"1626 SHRADER ST, SAN FRANCISCO, CA, 94117",5,Ashbury Heights,"(37.75984206747, -122.449589444123)",Integrated Agency,
5687923,3/22/2016 8:22,6/1/2016 6:56,6/1/2016 6:56,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Weeding,Intersection of LA SALLE AVE and NEWCOMB AVE,10,Bayview,"(37.7330708907958, -122.385001503995)",Voice In,
5941808,6/3/2016 16:02,,6/3/2016 16:04,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,"1065 NATOMA ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.772660694162, -122.416842069789)",Voice In,
5942135,6/3/2016 17:05,8/1/2016 12:55,8/1/2016 12:55,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,About_to_fall,"612 PALMETTO AVE, SAN FRANCISCO, CA, 94132",7,Merced Heights,"(37.710740510022, -122.469584253667)",Voice In,
5626912,3/3/2016 15:37,,3/3/2016 15:43,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Restake_tree,Intersection of 30TH AVE and LAWTON ST,4,Outer Sunset,"(37.7574478801035, -122.48851740414)",Voice In,
5688638,3/22/2016 10:32,3/29/2016 11:57,3/29/2016 11:57,Closed,"Case Resolved -  Request closed by in Operations system   at Mar 29 2016 12:00AM.  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/29/2016. "".",DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"2886 16TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765361840502, -122.417081193704)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56f181aadf86ba9da0574a65/photo_20160322_103149.jpg
5942522,6/3/2016 19:04,6/6/2016 12:10,6/6/2016 12:10,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,Intersection of NOE ST and 15TH ST,8,Duboce Triangle,"(37.7658614882697, -122.433255578825)",Voice In,
5942621,6/3/2016 19:45,8/22/2016 23:16,8/22/2016 23:16,Closed,Case Resolved - Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Blocking_signs,"555 BUCKINGHAM WAY, SAN FRANCISCO, CA, 94132",7,Stonestown,"(37.730179285863, -122.477121597762)",Voice In,
5652270,3/10/2016 12:14,9/21/2016 11:06,9/21/2016 11:06,Closed,Case Resolved - SES Graffiti Crew  - Clean using chemicals - Pole - Signal Light,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"2096 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763535265497, -122.419720592706)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e1d5b0df8663f2bfa44289/photo_20160310_121402.jpg
